DateTime,AVGPD/A001W,DOMPD/A001W,WVHGT/A001W,WWHGT/A001W,WWPD/A001W,,,,,,,
03/11/2016 0040,5.29,7.14,2,1.83,7.1,,,AVGPD,Average Wave Period,,,s
03/11/2016 0140,5.08,5.56,1.95,1.75,5.6,,,DOMPD,Dominant Wave Period,,,s
03/11/2016 0240,5.4,6.67,2.02,1.84,6.7,,,WVHGT,Significant Wave Height,,,m
03/11/2016 0340,5.47,6.67,2.06,1.9,6.7,,,WWHGT,Wind Wave Height,,,m
03/11/2016 0440,5.81,7.14,2.42,2.3,7.1,,,WWPD,Wind Wave Period,,,s
03/11/2016 0540,6,6.67,2.74,2.69,6.7,,,,,,,
03/11/2016 0640,6.25,7.14,2.97,2.93,7.1,,,,,,,
03/11/2016 0740,6.29,7.69,3.02,2.99,7.7,,,,,,,
03/11/2016 0840,6.31,7.14,3.21,3.2,7.1,,,,,,,
03/11/2016 0940,6.35,7.69,2.86,2.86,7.7,,,,,,,
03/11/2016 1040,6.44,7.69,2.9,2.85,7.7,,,,,,,
03/11/2016 1140,6.25,7.69,2.95,2.93,7.7,,,,,,,
03/11/2016 1240,6.56,7.69,3.35,3.35,7.7,,,,,,,
03/11/2016 1340,6.39,8.33,3.15,3.14,8.3,,,,,,,
03/11/2016 1440,6.44,7.69,2.96,2.96,7.7,,,,,,,
03/11/2016 1540,6.29,7.69,2.78,2.78,7.7,,,,,,,
03/11/2016 1640,,,,,,,,,,,,
03/11/2016 1740,6.52,7.69,3.03,3.02,7.7,,,,,,,
03/11/2016 1840,6.28,7.69,2.66,2.6,7.7,,,,,,,
03/11/2016 1940,6.38,7.69,2.87,2.87,7.7,,,,,,,
03/11/2016 2040,6.38,8.33,2.77,2.76,8.3,,,,,,,
03/11/2016 2140,6.32,8.33,2.8,2.79,8.3,,,,,,,
03/11/2016 2240,6.22,8.33,2.72,2.13,5.3,,,,,,,
03/11/2016 2340,6.15,8.33,2.56,0.98,5,,,,,,,
03/12/2016 0040,6.3,7.69,2.65,1.09,5.3,,,,,,,
03/12/2016 0140,6.22,7.69,2.37,0.62,3.7,,,,,,,
03/12/2016 0240,6.14,7.69,2.32,0.73,4,,,,,,,
03/12/2016 0340,6.04,7.69,2.1,1.19,5,,,,,,,
03/12/2016 0440,5.61,7.69,1.84,1.02,6.2,,,,,,,
03/12/2016 0540,5.69,7.69,1.92,0.98,4.5,,,,,,,
03/12/2016 0640,5.2,7.69,1.65,0.92,3.4,,,,,,,
03/12/2016 0740,4.63,7.14,1.47,1.06,3.7,,,,,,,
03/12/2016 0840,4.91,7.14,1.54,1.26,4,,,,,,,
03/12/2016 0940,4.69,6.67,1.5,1.32,6.7,,,,,,,
03/12/2016 1040,4.79,7.14,1.36,1.05,5.9,,,,,,,
03/12/2016 1140,4.77,7.14,1.38,1.09,5.3,,,,,,,
03/12/2016 1240,4.69,6.67,1.25,0.95,5.3,,,,,,,
03/12/2016 1340,4.8,6.67,1.25,0.89,5.6,,,,,,,
03/12/2016 1440,4.7,7.14,1.19,0.8,5.3,,,,,,,
03/12/2016 1540,4.9,6.67,1.19,0.69,4.5,,,,,,,
03/12/2016 1640,4.77,6.67,1.1,0.68,5,,,,,,,
03/12/2016 1740,4.75,6.67,1.03,0.63,4.8,,,,,,,
03/12/2016 1840,4.87,5.88,1.06,0.6,3.8,,,,,,,
03/12/2016 1940,4.81,6.25,1.02,0.51,4.3,,,,,,,
03/12/2016 2040,4.87,6.25,0.97,0.67,5.6,,,,,,,
03/12/2016 2140,4.77,5.88,1,0.6,5,,,,,,,
03/12/2016 2240,4.84,6.25,0.98,0.55,4.8,,,,,,,
03/12/2016 2340,4.8,6.67,0.95,0.57,4.3,,,,,,,
03/13/2016 0040,4.94,6.67,0.93,0.48,4.5,,,,,,,
03/13/2016 0140,4.85,6.25,0.87,0.37,3.6,,,,,,,
03/13/2016 0240,4.86,6.67,0.87,0.52,5,,,,,,,
03/13/2016 0340,4.86,6.25,0.94,0.59,3.7,,,,,,,
03/13/2016 0440,4.68,6.25,0.89,0.64,4.8,,,,,,,
03/13/2016 0540,4.51,6.67,0.92,0.68,3.6,,,,,,,
03/13/2016 0640,4.63,7.14,1.06,0.91,6.2,,,,,,,
03/13/2016 0740,4.28,6.25,1.16,1.02,6.2,,,,,,,
03/13/2016 0840,4.46,7.14,1.18,1.04,4.8,,,,,,,
03/13/2016 0940,4.45,5,1.24,1.18,5,,,,,,,
03/13/2016 1040,4.4,5.26,1.17,1.13,5.3,,,,,,,
03/13/2016 1140,4.51,4.76,1.17,1.11,4.8,,,,,,,
03/13/2016 1240,4.57,5.56,1.23,1.16,5.6,,,,,,,
03/13/2016 1340,4.4,5.56,1.18,1.12,5.6,,,,,,,
03/13/2016 1440,4.59,5.26,1.16,1.06,5.3,,,,,,,
03/13/2016 1540,4.48,5.56,1.21,1.03,5.6,,,,,,,
03/13/2016 1640,4.62,5.56,1.21,1.1,5.6,,,,,,,
03/13/2016 1740,4.56,5,1.29,1.15,5,,,,,,,
03/13/2016 1840,4.53,5.26,1.18,0.97,5.3,,,,,,,
03/13/2016 1940,4.45,5.26,1.17,1.08,5.3,,,,,,,
03/13/2016 2040,4.59,5.56,1.33,1.22,5.6,,,,,,,
03/13/2016 2140,4.55,5.26,1.39,1.3,5.3,,,,,,,
03/13/2016 2240,4.51,5.26,1.42,1.32,5.3,,,,,,,
03/13/2016 2340,4.62,5.56,1.59,1.54,5.6,,,,,,,
03/14/2016 0040,4.63,5.26,1.67,1.59,5.3,,,,,,,
03/14/2016 0140,4.67,5.88,1.49,1.38,5.9,,,,,,,
03/14/2016 0240,4.68,6.25,1.39,1.3,6.2,,,,,,,
03/14/2016 0340,4.81,5.56,1.33,0.67,4.2,,,,,,,
03/14/2016 0440,5.27,6.67,1.4,0.54,3.8,,,,,,,
03/14/2016 0540,5.04,6.25,1.3,1.06,6.2,,,,,,,
03/14/2016 0640,5.17,6.67,1.42,1.02,4.3,,,,,,,
03/14/2016 0740,4.88,6.67,1.36,1.16,6.7,,,,,,,
03/14/2016 0840,4.99,6.67,1.57,1.33,6.7,,,,,,,
03/14/2016 0940,4.76,7.14,1.57,1.33,4.8,,,,,,,
03/14/2016 1040,5.02,7.14,1.6,1.45,7.1,,,,,,,
03/14/2016 1140,4.89,6.67,1.57,1.52,6.7,,,,,,,
03/14/2016 1240,5,6.67,1.68,1.61,6.7,,,,,,,
03/14/2016 1340,5.22,6.67,1.61,0.68,3.6,,,,,,,
03/14/2016 1440,5.05,6.67,1.74,1.69,6.7,,,,,,,
03/14/2016 1540,4.93,6.67,1.74,1.61,6.7,,,,,,,
03/14/2016 1640,5.14,6.67,1.8,1.61,6.7,,,,,,,
03/14/2016 1740,5.18,6.67,2.02,1.94,6.7,,,,,,,
03/14/2016 1840,5,7.14,1.8,1.69,7.1,,,,,,,
03/14/2016 1940,4.96,7.14,1.73,1.62,7.1,,,,,,,
03/14/2016 2040,5.22,5.88,1.99,1.9,5.9,,,,,,,
03/14/2016 2140,5.33,7.14,2,1.91,7.1,,,,,,,
03/14/2016 2240,5.24,6.67,2.03,1.97,6.7,,,,,,,
03/14/2016 2340,5.52,7.14,2.35,2.29,7.1,,,,,,,
03/15/2016 0040,5.34,6.25,2.19,2.1,6.2,,,,,,,
03/15/2016 0140,5.36,5.56,2.06,1.96,5.6,,,,,,,
03/15/2016 0240,5.46,6.67,2.11,2.01,6.7,,,,,,,
03/15/2016 0340,5.41,5.88,2.21,2.11,5.9,,,,,,,
03/15/2016 0440,5.55,5.88,2.19,2.09,5.9,,,,,,,
03/15/2016 0540,5.48,5.88,2.22,2.16,5.9,,,,,,,
03/15/2016 0640,5.53,7.14,2.13,2.05,7.1,,,,,,,
03/15/2016 0740,5.44,7.14,1.99,1.87,7.1,,,,,,,
03/15/2016 0840,5.6,7.69,2.13,1.69,5.9,,,,,,,
03/15/2016 0940,5.41,7.14,2.05,1.94,7.1,,,,,,,
03/15/2016 1040,5.32,7.14,1.93,0.9,4.5,,,,,,,
03/15/2016 1140,5.37,7.14,1.95,1.76,7.1,,,,,,,
03/15/2016 1240,5.47,6.67,2.06,1.95,6.7,,,,,,,
03/15/2016 1340,5.11,7.14,1.93,1.83,7.1,,,,,,,
03/15/2016 1440,5.28,7.14,1.92,1.76,7.1,,,,,,,
03/15/2016 1540,5.38,6.67,2,1.87,6.7,,,,,,,
03/15/2016 1640,5.43,6.67,2.08,1.84,6.7,,,,,,,
03/15/2016 1740,5.53,7.14,2.19,2.05,7.1,,,,,,,
03/15/2016 1840,5.46,7.14,2.2,2.02,7.1,,,,,,,
03/15/2016 1940,5.48,7.14,2.3,2.05,7.1,,,,,,,
03/15/2016 2040,5.49,7.14,2.37,2.26,7.1,,,,,,,
03/15/2016 2140,5.71,7.69,2.41,2.09,7.7,,,,,,,
03/15/2016 2240,5.4,7.69,2.15,1.8,4,,,,,,,
03/15/2016 2340,5.44,7.14,2.21,1.98,7.1,,,,,,,
03/16/2016 0040,5.58,7.69,2.53,2.26,7.7,,,,,,,
03/16/2016 0140,5.54,6.67,2.51,2.38,6.7,,,,,,,
03/16/2016 0240,5.7,6.67,2.53,2.36,6.7,,,,,,,
03/16/2016 0340,5.86,6.67,2.56,2.37,6.7,,,,,,,
03/16/2016 0440,5.7,7.14,2.23,1.88,7.1,,,,,,,
03/16/2016 0540,5.63,6.67,2.35,2.04,6.7,,,,,,,
03/16/2016 0640,5.85,7.14,2.4,2.09,7.1,,,,,,,
03/16/2016 0740,5.77,7.14,2.4,2.15,7.1,,,,,,,
03/16/2016 0840,5.67,12.12,2.14,1.84,6.2,,,,,,,
03/16/2016 0940,5.65,10.81,2.09,1.69,5.9,,,,,,,
03/16/2016 1040,5.73,12.12,1.97,1.57,7.7,,,,,,,
03/16/2016 1140,5.84,6.67,2.06,1.63,6.7,,,,,,,
03/16/2016 1240,6.03,11.43,2.04,1.18,6.2,,,,,,,
03/16/2016 1340,6.27,10.81,1.9,0.76,4.8,,,,,,,
03/16/2016 1440,6.36,10.81,1.78,0.55,3.8,,,,,,,
03/16/2016 1540,6.63,11.43,1.84,0.46,3.8,,,,,,,
03/16/2016 1640,6.52,10.81,1.75,0.46,3.4,,,,,,,
03/16/2016 1740,6.62,7.69,1.71,0.43,3.8,,,,,,,
03/16/2016 1840,6.93,10.81,1.75,0.57,5,,,,,,,
03/16/2016 1940,7.02,9.09,1.76,0.81,6.2,,,,,,,
03/16/2016 2040,6.05,10.81,1.69,0.7,4.8,,,,,,,
03/16/2016 2140,6.07,10.81,1.76,0.73,3.1,,,,,,,
03/16/2016 2240,5.71,10.81,1.77,0.89,3.6,,,,,,,
03/16/2016 2340,5.54,9.09,1.85,1.07,3.7,,,,,,,
03/17/2016 0040,5.33,12.12,1.81,1.22,4.3,,,,,,,
03/17/2016 0140,5.79,16,1.85,1.14,4.5,,,,,,,
03/17/2016 0240,6.07,14.81,2.22,1.3,4.5,,,,,,,
03/17/2016 0340,5.87,13.79,2.17,1.38,4.8,,,,,,,
03/17/2016 0440,5.9,14.81,2.34,1.51,5,,,,,,,
03/17/2016 0540,6.16,14.81,2.35,1.44,5.3,,,,,,,
03/17/2016 0640,6.12,14.81,2.33,1.53,5,,,,,,,
03/17/2016 0740,6.23,13.79,2.54,1.77,5.6,,,,,,,
03/17/2016 0840,6.45,12.9,2.59,1.8,6.2,,,,,,,
03/17/2016 0940,6.65,13.79,2.65,1.62,5.6,,,,,,,
03/17/2016 1040,6.97,13.79,2.74,1.65,7.1,,,,,,,
03/17/2016 1140,6.56,12.9,2.57,1.48,5.9,,,,,,,
03/17/2016 1240,6.74,12.9,2.49,0.7,3.7,,,,,,,
03/17/2016 1340,7.21,13.79,2.54,0.66,3.7,,,,,,,
03/17/2016 1440,7.67,16,2.67,0.62,3.7,,,,,,,
03/17/2016 1540,7.68,13.79,2.53,1,5,,,,,,,
03/17/2016 1640,7.85,13.79,2.49,1.02,4.8,,,,,,,
03/17/2016 1740,7.91,12.9,2.45,0.69,4.2,,,,,,,
03/17/2016 1840,8.35,16,2.47,0.46,3.7,,,,,,,
03/17/2016 1940,8.47,14.81,2.44,0.45,4,,,,,,,
03/17/2016 2040,8.6,16,2.43,0.4,3.8,,,,,,,
03/17/2016 2140,8.87,16,2.4,0.36,3.4,,,,,,,
03/17/2016 2240,8.91,14.81,2.42,0.38,3.8,,,,,,,
03/17/2016 2340,9.41,16,2.57,0.36,4,,,,,,,
03/18/2016 0040,8.79,16,2.33,0.35,4,,,,,,,
03/18/2016 0140,9.63,16,2.58,0.34,3.8,,,,,,,
03/18/2016 0240,9.38,16,2.47,0.35,3.8,,,,,,,
03/18/2016 0340,10.12,16,2.71,0.43,3.4,,,,,,,
03/18/2016 0440,9.57,14.81,2.47,0.49,4.8,,,,,,,
03/18/2016 0540,9.37,14.81,2.35,0.41,4.2,,,,,,,
03/18/2016 0640,10.12,16,2.58,0.37,3.7,,,,,,,
03/18/2016 0740,8.86,14.81,2.13,0.38,3.7,,,,,,,
03/18/2016 0840,9.93,16,2.46,0.39,4,,,,,,,
03/18/2016 0940,9.39,16,2.26,0.4,4,,,,,,,
03/18/2016 1040,,,,,,,,,,,,
03/18/2016 1140,9.22,16,2.11,0.36,3.3,,,,,,,
03/18/2016 1240,8.09,14.81,2.06,0.76,5,,,,,,,
03/18/2016 1340,8.9,16,2.05,0.39,3,,,,,,,
03/18/2016 1440,8.57,16,2.02,0.43,3.4,,,,,,,
03/18/2016 1540,6.79,16,2.31,0.85,3.8,,,,,,,
03/18/2016 1640,6.28,16,2.33,1.49,5,,,,,,,
03/18/2016 1740,6.47,14.81,2.2,1.31,5.9,,,,,,,
03/18/2016 1840,6.31,14.81,2.39,1.66,6.7,,,,,,,
03/18/2016 1940,6.03,13.79,2.12,1.59,6.2,,,,,,,
03/18/2016 2040,6.55,14.81,2.19,1.51,5.9,,,,,,,
03/18/2016 2140,7.23,14.81,2.41,1.47,6.7,,,,,,,
03/18/2016 2240,7.03,13.79,2.21,1.18,6.7,,,,,,,
03/18/2016 2340,7.31,14.81,2.2,1.02,5.6,,,,,,,
03/19/2016 0040,7.29,14.81,2.11,1.02,6.2,,,,,,,
03/19/2016 0140,7.79,14.81,2,0.51,4.2,,,,,,,
03/19/2016 0240,7.81,13.79,1.86,0.44,4.3,,,,,,,
03/19/2016 0340,8.19,14.81,2.09,0.37,4,,,,,,,
03/19/2016 0440,8,14.81,1.89,0.36,4.2,,,,,,,
03/19/2016 0540,8.67,14.81,2.03,0.33,3.8,,,,,,,
03/19/2016 0640,8.83,14.81,2.11,0.3,4,,,,,,,
03/19/2016 0740,8.28,12.12,1.84,0.29,3.6,,,,,,,
03/19/2016 0840,8.4,14.81,1.79,0.27,4,,,,,,,
03/19/2016 0940,8.68,14.81,1.88,0.37,4.3,,,,,,,
03/19/2016 1040,8.42,14.81,1.69,0.36,4.3,,,,,,,
03/19/2016 1140,8.09,13.79,1.65,0.47,5,,,,,,,
03/19/2016 1240,7.66,13.79,1.6,0.66,4.8,,,,,,,
03/19/2016 1340,7.41,12.12,1.64,0.95,6.2,,,,,,,
03/19/2016 1440,6.72,12.9,1.5,0.99,5.6,,,,,,,
03/19/2016 1540,6.86,13.79,1.62,1.13,5.9,,,,,,,
03/19/2016 1640,6.39,13.79,1.82,1.45,5.9,,,,,,,
03/19/2016 1740,6.37,6.25,1.76,1.44,6.2,,,,,,,
03/19/2016 1840,6.04,6.25,1.73,1.53,6.2,,,,,,,
03/19/2016 1940,6.17,6.25,1.66,1.45,6.2,,,,,,,
03/19/2016 2040,6.12,6.67,1.95,1.77,6.7,,,,,,,
03/19/2016 2140,6.28,6.67,2.49,2.41,6.7,,,,,,,
03/19/2016 2240,6.34,6.67,2.35,2.15,6.7,,,,,,,
03/19/2016 2340,6.41,6.67,2.48,2.34,6.7,,,,,,,
03/20/2016 0040,6.36,7.14,2.43,2.28,7.1,,,,,,,
03/20/2016 0140,6.1,7.69,2.25,1.63,5,,,,,,,
03/20/2016 0240,6.05,6.67,2.08,1.85,6.7,,,,,,,
03/20/2016 0340,6.03,6.67,1.89,1.69,6.7,,,,,,,
03/20/2016 0440,5.86,6.67,1.75,1.45,6.7,,,,,,,
03/20/2016 0540,5.81,6.25,1.7,0.91,5.3,,,,,,,
03/20/2016 0640,5.91,5.88,1.6,0.6,4,,,,,,,
03/20/2016 0740,5.76,7.14,1.54,0.7,4.2,,,,,,,
03/20/2016 0840,5.94,6.67,1.54,1.31,6.7,,,,,,,
03/20/2016 0940,5.68,6.25,1.43,0.48,4.3,,,,,,,
03/20/2016 1040,5.92,6.25,1.41,0.34,3.8,,,,,,,
03/20/2016 1140,5.87,6.67,1.42,0.35,3.7,,,,,,,
03/20/2016 1240,5.99,6.67,1.53,0.36,3.6,,,,,,,
03/20/2016 1340,5.79,6.25,1.4,0.37,3.4,,,,,,,
03/20/2016 1440,5.92,6.67,1.4,0.38,3.8,,,,,,,
03/20/2016 1540,6.6,9.09,1.75,0.44,4.5,,,,,,,
03/20/2016 1640,7.11,9.09,2.23,0.54,4.2,,,,,,,
03/20/2016 1740,7.15,9.09,2.14,0.6,3.8,,,,,,,
03/20/2016 1840,6.89,9.09,2.08,1.13,6.2,,,,,,,
03/20/2016 1940,6.59,9.09,2.15,1.29,6.7,,,,,,,
03/20/2016 2040,6.39,9.09,1.88,1.08,6.2,,,,,,,
03/20/2016 2140,5.97,9.09,1.75,1.24,5.9,,,,,,,
03/20/2016 2240,5.85,9.09,1.74,1.11,4.5,,,,,,,
03/20/2016 2340,5.8,8.33,1.74,1.18,7.1,,,,,,,
03/21/2016 0040,5.95,9.09,1.6,1.05,6.2,,,,,,,
03/21/2016 0140,5.47,8.33,1.47,1.16,5.9,,,,,,,
03/21/2016 0240,,,,,,,,,,,,
03/21/2016 0340,6.44,10.81,1.81,0.86,5.9,,,,,,,
03/21/2016 0440,5.41,10,1.65,1.01,6.2,,,,,,,
03/21/2016 0540,5.46,10.81,1.83,1.11,5.6,,,,,,,
03/21/2016 0640,5.19,9.09,1.78,1.14,5.3,,,,,,,
03/21/2016 0740,5.33,10,1.77,1.09,5,,,,,,,
03/21/2016 0840,5.22,10.81,1.72,1.08,5.3,,,,,,,
03/21/2016 0940,5.44,9.09,1.8,1.08,5.9,,,,,,,
03/21/2016 1040,5.51,10,2.08,1.27,5.9,,,,,,,
03/21/2016 1140,5.38,9.09,2.18,1.6,5.6,,,,,,,
03/21/2016 1240,5.46,9.09,2.29,1.6,5.3,,,,,,,
03/21/2016 1340,5.18,10,2.13,1.57,6.7,,,,,,,
03/21/2016 1440,5.43,5.88,2.38,1.78,5.9,,,,,,,
03/21/2016 1540,5.31,9.09,2.47,2.09,6.7,,,,,,,
03/21/2016 1640,5.36,7.14,2.59,2.22,7.1,,,,,,,
03/21/2016 1740,5.57,9.09,2.71,2.24,6.7,,,,,,,
03/21/2016 1840,5.9,7.69,3.34,3.04,7.7,,,,,,,
03/21/2016 1940,5.92,8.33,3.4,3.06,8.3,,,,,,,
03/21/2016 2040,5.85,7.14,3.1,2.45,7.1,,,,,,,
03/21/2016 2140,6.17,8.33,3.35,2.31,5.3,,,,,,,
03/21/2016 2240,5.92,9.09,3.04,2.07,5.9,,,,,,,
03/21/2016 2340,5.89,8.33,2.98,1.75,6.2,,,,,,,
03/22/2016 0040,5.67,8.33,2.77,1.98,5.9,,,,,,,
03/22/2016 0140,5.6,8.33,2.63,1.74,4.8,,,,,,,
03/22/2016 0240,5.78,9.09,2.66,2.04,6.2,,,,,,,
03/22/2016 0340,5.78,8.33,2.69,2.15,5.9,,,,,,,
03/22/2016 0440,5.59,8.33,2.73,2.03,7.1,,,,,,,
03/22/2016 0540,5.71,7.69,2.53,2.53,7.7,,,,,,,
03/22/2016 0640,5.51,8.33,2.31,2.31,8.3,,,,,,,
03/22/2016 0740,5.94,9.09,2.42,1.69,5.6,,,,,,,
03/22/2016 0840,5.76,7.69,2.43,1.61,6.2,,,,,,,
03/22/2016 0940,5.86,8.33,2.39,1.73,4.5,,,,,,,
03/22/2016 1040,5.47,8.33,2.07,1.5,5.3,,,,,,,
03/22/2016 1140,5.51,7.69,2.03,1.61,6.7,,,,,,,
03/22/2016 1240,5.51,8.33,1.9,1.25,5.6,,,,,,,
03/22/2016 1340,5.48,9.09,1.81,0.98,5,,,,,,,
03/22/2016 1440,5.53,9.09,1.86,0.91,5,,,,,,,
03/22/2016 1540,5.65,9.09,1.84,1,5.3,,,,,,,
03/22/2016 1640,5.68,9.09,1.75,0.7,3.8,,,,,,,
03/22/2016 1740,5.82,8.33,1.73,0.55,4,,,,,,,
03/22/2016 1840,5.89,8.33,1.68,0.49,4,,,,,,,
03/22/2016 1940,5.64,8.33,1.46,0.48,4,,,,,,,
03/22/2016 2040,5.67,8.33,1.49,0.48,3.7,,,,,,,
03/22/2016 2140,5.52,10,1.41,0.48,3.7,,,,,,,
03/22/2016 2240,5.87,9.09,1.3,0.38,3.8,,,,,,,
03/22/2016 2340,5.69,8.33,1.26,0.75,5,,,,,,,
03/23/2016 0040,5.28,5.56,1.16,0.86,5.6,,,,,,,
03/23/2016 0140,4.86,9.09,1.15,0.88,5.6,,,,,,,
03/23/2016 0240,4.75,8.33,1.16,0.95,5.9,,,,,,,
03/23/2016 0340,4.64,9.09,1.21,1.03,4.8,,,,,,,
03/23/2016 0440,4.59,4.55,1.33,1.22,4.5,,,,,,,
03/23/2016 0540,4.56,5,1.46,1.36,5,,,,,,,
03/23/2016 0640,4.5,5,1.45,1.37,5,,,,,,,
03/23/2016 0740,4.58,5.26,1.51,1.49,5.3,,,,,,,
03/23/2016 0840,4.67,5.26,1.59,1.55,5.3,,,,,,,
03/23/2016 0940,4.76,5.56,1.63,1.6,5.6,,,,,,,
03/23/2016 1040,5.01,5.88,1.94,1.91,5.9,,,,,,,
03/23/2016 1140,5.35,6.25,2.17,2.16,6.2,,,,,,,
03/23/2016 1240,5.26,7.14,1.97,1.96,7.1,,,,,,,
03/23/2016 1340,5.35,7.14,1.97,1.97,7.1,,,,,,,
03/23/2016 1440,5.5,6.67,2.08,2.08,6.7,,,,,,,
03/23/2016 1540,5.56,6.67,2.18,2.18,6.7,,,,,,,
03/23/2016 1640,5.58,7.14,2.17,2.17,7.1,,,,,,,
03/23/2016 1740,5.79,7.69,2.37,2.37,7.7,,,,,,,
03/23/2016 1840,5.76,7.69,2.32,2.32,7.7,,,,,,,
03/23/2016 1940,5.95,7.69,2.63,2.62,7.7,,,,,,,
03/23/2016 2040,5.76,8.33,2.52,2.5,8.3,,,,,,,
03/23/2016 2140,5.71,7.69,2.42,2.42,7.7,,,,,,,
03/23/2016 2240,5.77,7.69,2.48,2.48,7.7,,,,,,,
03/23/2016 2340,5.76,8.33,2.33,2.33,8.3,,,,,,,
03/24/2016 0040,5.91,7.14,2.43,2.43,7.1,,,,,,,
03/24/2016 0140,6.25,7.69,2.55,2.55,7.7,,,,,,,
03/24/2016 0240,6.22,7.69,2.66,2.65,7.7,,,,,,,
03/24/2016 0340,6.22,8.33,2.38,2.38,8.3,,,,,,,
03/24/2016 0440,5.98,8.33,2.38,2.38,8.3,,,,,,,
03/24/2016 0540,5.92,7.14,2.16,2.16,7.1,,,,,,,
03/24/2016 0640,5.98,7.69,2.23,2.23,7.7,,,,,,,
03/24/2016 0740,5.71,7.14,2.04,1.93,7.1,,,,,,,
03/24/2016 0840,5.61,6.67,1.91,1.91,6.7,,,,,,,
03/24/2016 0940,5.88,7.14,2.09,1.82,7.1,,,,,,,
03/24/2016 1040,5.62,6.67,1.85,1.85,6.7,,,,,,,
03/24/2016 1140,5.58,7.14,1.71,1.7,7.1,,,,,,,
03/24/2016 1240,5.62,7.14,1.79,1.74,7.1,,,,,,,
03/24/2016 1340,5.46,7.14,1.66,1.58,7.1,,,,,,,
03/24/2016 1440,5.27,6.25,1.58,1.55,6.2,,,,,,,
03/24/2016 1540,5.35,6.67,1.62,1.6,6.7,,,,,,,
03/24/2016 1640,5.2,6.67,1.57,1.56,6.7,,,,,,,
03/24/2016 1740,5.22,6.25,1.56,1.55,6.2,,,,,,,
03/24/2016 1840,5.34,6.67,1.61,1.61,6.7,,,,,,,
03/24/2016 1940,5.27,6.25,1.74,1.73,6.2,,,,,,,
03/24/2016 2040,5.25,5.88,1.66,1.65,5.9,,,,,,,
03/24/2016 2140,5.21,5.88,1.61,1.59,5.9,,,,,,,
03/24/2016 2240,5.11,5.88,1.44,1.44,5.9,,,,,,,
03/24/2016 2340,5.04,5.88,1.39,1.37,5.9,,,,,,,
03/25/2016 0040,5.09,5.88,1.63,1.62,5.9,,,,,,,
03/25/2016 0140,5.18,5.88,1.75,1.74,5.9,,,,,,,
03/25/2016 0240,5.48,6.25,2.16,2.16,6.2,,,,,,,
03/25/2016 0340,5.62,6.67,2.16,2.15,6.7,,,,,,,
03/25/2016 0440,5.69,6.67,2.24,2.23,6.7,,,,,,,
03/25/2016 0540,5.73,6.67,2.28,2.27,6.7,,,,,,,
03/25/2016 0640,5.87,7.14,2.36,2.36,7.1,,,,,,,
03/25/2016 0740,5.87,7.14,2.51,2.51,7.1,,,,,,,
03/25/2016 0840,5.71,7.14,2.07,2.06,7.1,,,,,,,
03/25/2016 0940,6.12,7.14,2.51,2.51,7.1,,,,,,,
03/25/2016 1040,6.43,7.14,2.73,2.72,7.1,,,,,,,
03/25/2016 1140,6.31,7.69,2.48,2.48,7.7,,,,,,,
